HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag
505,,10615,,,01 41 48.0,-60 47 22,5.71,1.27,K2-3III,
506,,10647,,,01 42 29.3,-53 44 26,5.52,0.53,F9V,
507,,10658,,,01 43 54.8,-04 45 56,6.19,1.54,K0,
508,109    Psc,10697,,,01 44 55.8,+20 04 59,6.27,0.75,G3Va,
509,52Tau Cet,10700,,,01 44 04.1,-15 56 15,3.50,0.72,G8V,
510,110Omi Psc,10761,,615,01 45 23.6,+09 09 28,4.26,0.96,G8III,*
511,,10780,,,01 47 44.8,+63 51 08,5.63,0.81,K0V,*
512,,10800,,,01 37 55.6,-82 58 30,5.87,0.61,G2V,
513,,10824,,,01 45 59.3,-05 44 00,5.34,1.52,K4III,
514,Eps Scl,10830,1394,,01 45 38.8,-25 03 09,5.31,0.39,F1V,*
515,,10845,,VY Psc,01 46 35.3,+17 24 47,6.55,0.25,A9III,*
516,Tau1Hyi,10859,,,01 41 21.3,-79 08 54,6.33,0.94,G6-8III,*
517,,10863,,,01 46 01.0,-27 20 57,6.39,0.36,F2Vn,
518,,10874,,,01 47 48.0,+46 13 47,6.32,0.43,F6V,
519,,10934,,,01 46 05.8,-50 48 59,5.49,1.60,M3III,
520,,10939,,,01 46 06.3,-53 31 19,5.04,0.04,A1V,
521,,10975,,,01 48 38.9,+37 57 10,5.94,0.97,K0III,
522,4    Ari,10982,,,01 48 10.9,+16 57 20,5.84,-0.03,B9.5V,
523,,11007,,,01 48 41.6,+32 41 25,5.79,0.55,F8V,
524,,11022,,,01 47 16.8,-41 45 36,6.18,1.54,K5-M0III,
525,,11025,,,01 37 28.0,-84 46 11,5.69,0.94,G8III,
526,,11031,1438,,01 49 15.7,+47 53 49,5.82,0.29,A3V,*
527,,11037,,,01 48 26.0,+03 41 08,5.91,0.97,G9III,
528,,11050,,,01 47 47.8,-37 09 35,6.32,1.02,K0III,
529,,11151,,,01 50 57.1,+51 56 00,5.90,0.43,F5IV,
530,1    Ari,11154,1457,,01 50 08.5,+22 16 31,5.86,0.74,K1III+A6V,*
531,53Chi Cet,11171,,,01 49 35.1,-10 41 11,4.67,0.33,F3III,*
532,,11183,,,01 49 19.5,-31 04 22,6.34,1.22,K2-3III,
533,1    Per,11241,,V436 Per,01 51 59.3,+55 08 51,5.52,-0.18,B1.5V,*
534,,11257,,635,01 50 52.0,+11 02 36,5.94,0.30,F2V w,*
535,,11262,,,01 49 48.8,-38 24 14,6.37,0.52,F8V,
536,2    Per,11291,,,01 52 09.4,+50 47 34,5.79,-0.07,B9IIIpHgMn,*
537,,11332,,,01 50 20.2,-47 48 59,6.14,1.01,K1IV,*
538,,11335,,,01 52 50.8,+51 28 29,6.26,,A3V,
539,55Zet Cet,11353,,638,01 51 27.6,-10 20 06,3.73,1.14,K0IIIBa0.1,*
540,,11408,,,01 53 48.5,+55 35 53,6.45,0.18,A5m,
541,,11413,,BD Phe,01 50 54.5,-50 12 22,5.94,0.14,A1Vp,*
542,45Eps Cas,11415,,652,01 54 23.7,+63 40 12,3.38,-0.15,B3III,*
543,55    And,11428,,,01 53 17.3,+40 43 47,5.40,1.32,gK1,
544,2Alp Tri,11443,,,01 53 04.9,+29 34 44,3.41,0.49,F6IV,*
545,5Gam1Ari,11503,1507,Var?,01 53 31.8,+19 17 45,4.83,,B9V,*
546,5Gam2Ari,11502,1507,Gam Ari,01 53 31.8,+19 17 37,4.75,-0.04,A1pSi,*
547,,11522,,BK Cet,01 52 52.1,-16 55 45,5.80,0.27,F0IIIn,*
548,46Ome Cas,11529,,659,01 56 00.0,+68 41 07,4.99,-0.10,B8III,*
